userid,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
control1,0.950366128468886,0.429198022233322,0.623167746933177,0.159982632379979,0.12241984740831,0.99037928157486,0.981611346593127,0.308369328035042,0.00956973596476018,0.258530571125448,0.0527000690344721,0.648184043820947,0.850046488223597,0.155478446278721,0.60957245901227,0.933765487279743,0.362674592528492,0.288325888570398,0.937905676197261,0.507425793912262,0.8441867667716,0.664138388819993,0.457696927478537,0.727126132696867
control10,0.0287461350671947,0.812165294773877,0.734229893889278,0.679976704996079,0.161154313012958,0.0825117663480341,0.734381573973224,0.981920056510717,0.560527314897627,0.816181123023853,0.645031035179272,0.894070314709097,0.431542072910815,0.257220735540614,0.54003483033739,0.613631458720192,0.819518196163699,0.234115804312751,0.998039558297023,0.545488461153582,0.790157029870898,0.210282727377489,0.588892189320177,0.512779561802745
control11,0.93413331406191,0.895806645508856,0.252706002676859,0.330872823717073,0.110987545689568,0.435807967791334,0.294395766686648,0.0822883353102952,0.290512569481507,0.0170563661959022,0.671719145495445,0.507539649726823,0.611573438625783,0.287665117299184,0.849169813329354,0.139876646222547,0.247646527132019,0.608067839872092,0.252089296001941,0.787869268329814,0.693023435771465,0.00101358722895384,0.300733131123707,0.977495483355597
control12,0.742745651165023,0.0220539590809494,0.590135842794552,0.258367995498702,0.947238746797666,0.356138181407005,0.938295031432062,0.0908739829901606,0.700587249593809,0.791617949958891,0.845089394599199,0.986283776350319,0.294437470845878,0.312555367825553,0.16653179586865,0.567292427644134,0.892523979069665,0.155003703199327,0.125533955404535,0.911661969963461,0.293499086983502,0.329989870544523,0.32972598890774,0.349408475449309
control13,0.124618981732056,0.0566427323501557,0.642821819521487,0.461370445787907,0.657600305275992,0.911552963778377,0.582960489206016,0.630595996743068,0.918037432711571,0.854931228561327,0.682662674458697,0.435165549162775,0.171837590169162,0.775810793973505,0.728101925225928,0.820053379749879,0.535534530645236,0.858124690363184,0.718153081834316,0.0566484788432717,0.766306739067659,0.875328049995005,0.886836019111797,0.118342059897259
control14,0.968318325933069,0.642387676751241,0.0767774661071599,0.213270759675652,0.168428782140836,0.0993414437398314,0.364699617028236,0.875403510639444,0.56231401162222,0.873655360657722,0.798603732837364,0.383644801331684,0.707663672510535,0.425840990385041,0.15270814136602,0.881602870067582,0.946337237022817,0.259456018218771,0.974296163301915,0.798749794717878,0.0596815464086831,0.612936560297385,0.883097725687549,0.776239294791594
control15,0.622402815613896,0.416404978139326,0.193753604544327,0.198809616500512,0.431029056664556,0.155300999991596,0.948314088396728,0.848102859454229,0.466888131806627,0.916165923234075,0.0638360022567213,0.18069977289997,0.847828384954482,0.876619914546609,0.354765476891771,0.370168538764119,0.205427835229784,0.417723668273538,0.161653255810961,0.291853974107653,0.836322125745937,0.522905406774953,0.337325448403135,0.145479435566813
control16,0.488631015643477,0.711151937721297,0.386553200660273,0.693776708329096,0.503121422836557,0.530777550768107,0.542880972847342,0.967830955516547,0.505979422945529,0.309071777621284,0.662869204068556,0.137887591263279,0.774001182056963,0.62795047974214,0.394690795335919,0.382896352326497,0.0747189205139875,0.303862043656409,0.294897576794028,0.376527268439531,0.941260520135984,0.388645943719894,0.633023452013731,0.631085258442909
control17,0.753225694410503,0.993749502347782,0.835715523688123,0.302467699628323,0.958289256552234,0.473459377419204,0.502578824292868,0.350570691982284,0.927071272628382,0.0336645497009158,0.433298066956922,0.331495096674189,0.69898823229596,0.302415371406823,0.297720277449116,0.44003556156531,0.859414745587856,0.561500340234488,0.847329809330404,0.623549532378092,0.998060009209439,0.770616599125788,0.492801314219832,0.238172818673775
control18,0.597111258422956,0.804693870944902,0.300301884301007,0.868184396065772,0.261095408117399,0.168596878880635,0.0898588779382408,0.453241396462545,0.264625216601416,0.276457867119461,0.181327959755436,0.4426371071022,0.0017218457069248,0.119088704232126,0.624685683753341,0.316727397730574,0.360472197644413,0.846902519930154,0.209611489670351,0.521533771650866,0.0785725091118366,0.829721437999979,0.382320455042645,0.252347236732021
control19,0.651257069781423,0.927132332697511,0.432942901039496,0.429592123022303,0.986541586229578,0.395088085439056,0.463433473138139,0.662966881413013,0.545059337746352,0.00229391152970493,0.379412798210979,0.473603239282966,0.260297937551513,0.834730724338442,0.959088967181742,0.9120025660377,0.011402239324525,0.923413822660223,0.431808161083609,0.220178844407201,0.663285511080176,0.813241651514545,0.882042398909107,0.0288805346935987
control2,0.296421309933066,0.954869406530634,0.306345372926444,0.219078237889335,0.0207769337575883,0.429477378726006,0.0566637038718909,0.161752020940185,0.897560977609828,0.190926356241107,0.812459344277158,0.464295914163813,0.331944492878392,0.856106018414721,0.932187847327441,0.364622305613011,0.965125198243186,0.642135244561359,0.653571875533089,0.950577990850434,0.689855318283662,0.0505653019063175,0.555235617561266,0.719543574145064
control20,0.270586979808286,0.299373025773093,0.435315748909488,0.665074560558423,0.71459516743198,0.785737168276682,0.469655382214114,0.583049490349367,0.119746858486906,0.601505749626085,0.678299967898056,0.586562957148999,0.968080087797716,0.431168973678723,0.102040050551295,0.278039900586009,0.484807261265814,0.277269033249468,0.754399110563099,0.735029131639749,0.806877205846831,0.770668756915256,0.0110726710408926,0.203584420727566
control21,0.646317195147276,0.820763086667284,0.969546577893198,0.276584290433675,0.871838267892599,0.0837994723115116,0.595597404288128,0.959512911038473,0.974248767597601,0.0759560475125909,0.492027851520106,0.612977992510423,0.293514281511307,0.190707092639059,0.475937051931396,0.748965078964829,0.891276402398944,0.952082352945581,0.370403900044039,0.341714245965704,0.794154084753245,0.067358713131398,0.677305635297671,0.141543292207643
