userid,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
control1,0.043607590713336,0.00867205612517776,0.00486589029705121,0.00419627936018216,0.0108873974645787,0.003981151569576,0.0093969313493719,0.0381316473067687,0.0255496543469455,0.0209825004920264,0.115621444440297,0.0548564740465255,0.0773524894221295,0.066274118353761,0.0468745191533115,0.101029010753162,0.131696491915116,0.147161136876051,0.0575741167139017,0.0991509685668172,0.0625773748263189,0.0428631787333689,0.077975635044064,0.0564433189738812
control10,0.0406516115123423,0.0391268871942772,0.0288490466699259,0.00766486694947934,0.0238989093959732,0.138446163205006,0.431293283270755,0.159478061184774,0.473086165230806,0.110709578298725,0.362221759092209,0.284357566985039,0.381284233176839,0.422936359168373,0.227161366265335,0.334540583449097,0.153128671400112,0.243487389106304,0.127946184397797,0.188669432490907,0.200034076475872,0.131353641988086,0.188971617418351,0.0653410508457661
control11,0.0973203912731774,0.0466041051571622,0.0403018565178695,0.00633879982125256,0.0335819040517028,0.0567519287776522,0.153399156352848,0.194326958838234,0.148294793434943,0.0471749368681618,0.131414177861279,0.169042722039087,0.152209036109662,0.147955535743994,0.101118551223636,0.254672811330878,0.118621057590256,0.130876611469344,0.054764441861216,0.0701613265389687,0.131636164205014,0.09748682420547,0.177867634352859,0.0724390000498975
control12,0.0443095315090571,0.0195390678722815,0.00884541135471902,0.0132430720070519,0.0278686614466816,0.0335549375742302,0.0797705465164789,0.0572147694543191,0.0734882514369972,0.0364546517977674,0.226212398336049,0.213091313780181,0.222800020286327,0.241783916821921,0.125495554940072,0.135930850477387,0.0982241065195551,0.124941390563996,0.100670770025609,0.12214501953512,0.0692423663530941,0.0659092128767144,0.0849170554691548,0.0594468838880295
control13,0.0207021204515006,0.00885865158621823,0.0151508029032379,0.00937792683598696,0.0217561521252796,0.044548970192057,0.179328327075511,0.0964785671657285,0.104600439632456,0.0639869938711528,0.256317577235569,0.205300164821232,0.200447476525822,0.224531666114229,0.131133001515176,0.287006350466362,0.124014149256781,0.172792223166163,0.108171446881124,0.117304331803809,0.0777021096436425,0.0277643613391905,0.0964696734059096,0.0664512748864826
control14,0.17723363464174,0.049339032976507,0.144047798127186,0.0613430389510217,0.0984934284116331,0.0795168158512209,0.381745932415519,0.232807999688628,0.312108324344988,0.132576340321494,0.425946547884186,0.242029678387287,0.415153342896887,0.521423632145022,0.336241833526124,0.506548918436198,0.244121928793992,0.390890700945642,0.293701890476084,0.446155583557216,0.285451151888146,0.16334034821408,0.150176905132192,0.204326443291252
control15,0.0338683225796516,0.00565773403261729,0.0139614907299462,0.00683157952729875,0.0337562919463087,0.0162574954375597,0.318579474342929,0.342748579361167,0.284728574744343,0.0702478565666813,0.286025121001355,0.246937336235313,0.300127151799687,0.271869392280349,0.166424998778083,0.402277237547132,0.288628237217142,0.134862053117557,0.071061446061446,0.182777691923635,0.236810854906496,0.106024364252474,0.146335536547434,0.117939474078139
control16,0.0676104583617786,0.0100981073033663,0.0168498949101409,0.00915009274052851,0.0257239622172508,0.0599886059693133,0.270033838594539,0.21917192108427,0.197060925048582,0.0543913240730731,0.243270444425089,0.242781440471829,0.255680171564366,0.292502466920408,0.20135641759487,0.3716536937811,0.211671292276083,0.273246088448795,0.14344037999952,0.16949324922269,0.121891668932695,0.128537148201814,0.164456540521859,0.0900986311394972
control17,0.0164862409337994,0.0182217523836894,0.045485314580121,0.00799680458376947,0.0174972035794184,0.0485652211697228,0.0949720483938256,0.0889657230338101,0.142446377128189,0.0319290484070818,0.220837117865896,0.157027089848702,0.185246044166232,0.176705032517631,0.109345215790417,0.296728186809552,0.145105991724983,0.266848181830842,0.121430114978502,0.157524785430684,0.10220154686548,0.051917017410704,0.0722270606531879,0.0803527768075443
control18,0.254353230638667,0.119591012399404,0.0592681734421421,0.00340354678958612,0.00624533929903057,0.00536871276421116,0.0249033514114866,0.0918708609748857,0.180096088059989,0.0780857447246915,0.28566965143591,0.283157946637364,0.254558385981182,0.327501622389097,0.186375723872261,0.379471235474411,0.219967876135828,0.334804952439312,0.136175050153545,0.202379348512346,0.173710859381185,0.0965676916825747,0.181157767409711,0.21176587994611
control19,0.120988928070959,0.0580973592109451,0.0536722951374526,0.0258787394633904,0.0334731543624161,0.0339219605457547,0.203409261576971,0.104405926464102,0.118407219802575,0.0241440819618964,0.0998432270346267,0.0768193728340797,0.126283472439576,0.0920666125658642,0.0918555206178007,0.149388106105709,0.0826040762118812,0.18741278219573,0.0807785452946743,0.0819464587147241,0.0911525077188379,0.0252957366391438,0.0206143079315707,0.0182613143056733
control2,0.225204352616231,0.0863259881149099,0.11234833385185,0.034367002068506,0.0164048200122026,0.0140041239719696,0.0195532294155573,0.155241797565159,0.36172615937235,0.0891083120835887,0.404156406483116,0.361598189655834,0.349247561688876,0.38230321872068,0.240544219299168,0.4052054580334,0.51149540044672,0.585179398683011,0.204553075520817,0.423453166504925,0.353258527802367,0.231724545531211,0.314886186907959,0.259242416682165
control20,0.00748534638800886,0.0059033573653877,0.0246272662315684,0.00543295886527663,0.0162217815741306,0.00573721924204239,0.0751120719080669,0.195309827824943,0.179054033087865,0.0373929984328234,0.144030920243733,0.120864101244035,0.13823485243673,0.150409236898133,0.113257569586281,0.26617354333171,0.14526136886049,0.232793514578398,0.0997744868712611,0.150828558522147,0.104169815376845,0.045154505100686,0.0230354870634808,0.00905076411538163
control21,0.144580438425431,0.097594337554105,0.113698756585447,0.0857027661886896,0.191714968476714,0.186515717705428,0.184735464785527,0.100663082733194,0.0456971997323975,0.0109176941261498,0.0330150744106025,0.0778722693079043,0.102863533614707,0.0940190211772434,0.062517680758447,0.150786291171288,0.132682600639897,0.149639227532908,0.0755153980960432,0.0807150221215509,0.118358020785711,0.0982863897374351,0.143059522126396,0.13665168223324
control22,0.124751690047583,0.0131436474295157,0.0359966718062502,0.0115368987934549,0.0356054250559284,0.0143673416181455,0.0186879432624114,0.227172474636084,0.172721283945223,0.0566034793889447,0.218584750718542,0.217284041923759,0.253578182055295,0.243240733332572,0.17182179572818,0.239078520870543,0.266902487613015,0.289812055206606,0.194650295456747,0.241778310073465,0.165247674022366,0.137619118808314,0.188545878693623,0.138104386008682
control23,0.0868237884784179,0.0283361386799134,0.0215721484712873,0.0127179631976199,0.0258389261744966,0.0148496567306857,0.19886733416771,0.137258686006384,0.13066436382999,0.0465432719894221,0.211393101989523,0.190849251965176,0.175837626065032,0.196727377673132,0.126936737320582,0.197540848051862,0.145170352965214,0.196623051961617,0.163426143264853,0.166854390052543,0.11623821521876,0.0899610539954154,0.198262052877138,0.0985994336609947
control24,0.254053804339456,0.0932307329139,0.101787258846978,0.00778194038895927,0.012800615212528,0.0115972886069349,0.0115978306216104,0.0513878798100627,0.0682795625520526,0.0576284188904874,0.229591519329111,0.1899432634604,0.263538406364111,0.228482072441737,0.197668380064843,0.39028907852087,0.333661950247739,0.403522485132932,0.303537097891937,0.200608937020043,0.204031608512923,0.257530455315593,0.428409797822705,0.252434072651065
control25,0.00927408799026777,0.00995042747323804,0.0224817607461171,0.00776644537491046,0.0122413310961969,0.0964108803337099,0.38308302044222,0.152425140766497,0.367690427754187,0.10842113579097,0.443907006258475,0.350336245879468,0.338606872717788,0.358192556948716,0.285640243405725,0.359302440960508,0.252431424630944,0.388890436332743,0.182061714319779,0.288672998739926,0.244678132196073,0.169196623657398,0.252820762052876,0.0558838755551119
control26,0.0474483746284974,0.029581866513399,0.0894209193586803,0.0414107119901565,0.0577903616703952,0.0488499753773065,0.141233486302322,0.13883338955344,0.145276681730677,0.0414511452434214,0.188779742278516,0.180342778857803,0.236165449487046,0.2456824130482,0.17633066684045,0.31410222486825,0.218422128007355,0.202852480629871,0.128175942692072,0.189204369843799,0.16588187510111,0.113292879576603,0.171394504924831,0.171501546829
control27,0.0480978852681526,0.0134744608382904,0.0103069244696111,0.00718771889781749,0.015612016618728,0.0142422624737737,0.368496334704094,0.32981988560753,0.281944057062498,0.0959409900957164,0.331265541764353,0.209526727604235,0.20832091313312,0.34011661607643,0.237271705306375,0.408009903703494,0.324385029079313,0.423460221518797,0.180960471283052,0.294383667258778,0.161372028081376,0.0796695503795484,0.67117307265052,0.294163037202306
control28,0.206138752436046,0.125361359429899,0.0332380630037732,0.014233987720297,0.0662844891871738,0.0610063439645433,0.105429935567608,0.207783745758266,0.321709924497903,0.0820529097009126,0.249325696526801,0.303727730350585,0.268927867617226,0.303842045975523,0.202256110034014,0.463992708723806,0.305423030426861,0.391777192843999,0.16316399112098,0.291115549109891,0.230799856351017,0.149567309207595,0.27025920165889,0.173239303871507
control29,0.110780886678267,0.0391881828766663,0.0274257371959601,0.0416659014807876,0.0175459855828983,0.0081766654113921,0.113172947666064,0.262108225145668,0.397797590061696,0.0715337086593874,0.259050044308408,0.195591384216606,0.233650186441005,0.244949639264484,0.267880255824015,0.387253496799042,0.273519379316998,0.42561360017455,0.174770303802562,0.203362048242104,0.229614637510053,0.107547023552451,0.217195438050803,0.227528012019803
control3,0.0400576594623582,0.0108422331689246,0.00443432151774137,0.00237200968685399,0.00812299387219142,0.00452049980918987,0.0442204930075638,0.0412749591887158,0.107381681822688,0.0341206599384693,0.128425621830933,0.102607648293172,0.105158460154378,0.126192358667451,0.0777836492724815,0.117983496840585,0.112912890237212,0.100013382025336,0.0586180095296505,0.0895593666755222,0.0646559600384852,0.049897485076087,0.090528095205896,0.0636716470366182
control30,0.0387883244275396,0.0122250674822699,0.0172544281899891,0.0215535645418985,0.0410584451901566,0.0231098461805857,0.049357530246141,0.328822750979528,0.195486258072443,0.0571668842670747,0.242803685408916,0.175312737722931,0.204889638758477,0.232616783440583,0.203778979781358,0.252670834160217,0.280680134852122,0.232051585588345,0.0745022317602962,0.179493770951713,0.107050474489111,0.0699149781120388,0.153343701399689,0.115218489596327
control31,0.119172522589575,0.0438124431945828,0.0265712291961775,0.00553382427659326,0.0135424434501616,0.00483860065853635,0.00887127427803273,0.0402413428244406,0.0362605755271265,0.0337828098449631,0.124429209540754,0.112468773185323,0.0969330213103036,0.150979338827232,0.0879910972084189,0.201063556114161,0.132852042930196,0.195395735554224,0.131152658034378,0.184542159667573,0.148349700367957,0.0791186549828653,0.123763608087091,0.108750672233033
control32,0.0409281530872561,0.0204510906069926,0.0271123479539861,0.0207319462043719,0.0595140442455879,0.00896362600542663,0.0123014879710749,0.066576137880531,0.0227052414565214,0.00689945752356875,0.0168033245822498,0.0111811953530743,0.0199204486176317,0.00912538305527301,0.0195302953778979,0.0668121981874711,0.0409136571827484,0.0331230357134566,0.0260388593721927,0.0181561700070533,0.0341074544872522,0.0338630909941198,0.0488716087782961,0.0639037195970481
control4,0.0827559849873095,0.0487514497141626,0.022104197934366,0.00942722915341501,0.0271252796420582,0.0163394613555385,0.0166283612090871,0.0106079083997556,0.0115592802538995,0.0117753698513942,0.0838215050430897,0.210134584796489,0.163782780860246,0.195757277891441,0.123757903576734,0.230893575565137,0.208254584461358,0.140305608907199,0.0780834974383362,0.134391392587822,0.10256737613952,0.0649041996589089,0.126980065036052,0.117366217436074
control5,0.017800415412473,0.00375461629439477,0.00804119925582959,0.00606837412944351,0.0163985392814844,0.019352925840537,0.12844977790866,0.0970590524800701,0.12413874524046,0.0451129916004122,0.160866481691157,0.104117671918738,0.0973641412746633,0.106444562028901,0.0768796187237826,0.135882080555977,0.0711453115751075,0.122210197673208,0.0926350376065746,0.104219082369164,0.0898434486608429,0.073026013459732,0.0616832860671483,0.0225266145578035
control6,0.101230043237157,0.0392600271183504,0.0623686376760725,0.0357930998598179,0.0601758637832463,0.0288577967034558,0.0437648912993093,0.146583835710435,0.100672495058306,0.0339583685605756,0.185599006828057,0.127318532292752,0.194487311385459,0.231865118824921,0.128479972339436,0.216638368870955,0.158868967552627,0.16227811589426,0.120658292701303,0.184530932587327,0.201245684506906,0.128436205473396,0.21303179540349,0.15882648903082
control7,0.148282747398841,0.0731916063118017,0.0572979997409315,0.0630880453479759,0.0623741610738255,0.0148064463177003,0.0105826727854262,0.107290306212178,0.145719651631479,0.0907176563096264,0.142437363393927,0.105662853708243,0.1200135483684,0.157132352661036,0.0885866682596833,0.200013965145936,0.14247671587407,0.196976449451972,0.114867969706679,0.142468346237872,0.12951757118484,0.0659811931345315,0.159527388975289,0.206295150497036
control8,0.295677481944593,0.0629950838011763,0.0706103568876688,0.0195457550548179,0.0992589485458614,0.121347006170157,0.26597079682937,0.184862087755261,0.2507802793441,0.11027184805116,0.357940053004192,0.360448186966443,0.384026691010259,0.399906276074111,0.249196793691653,0.261747701263478,0.145744496092353,0.322844449396264,0.188581882130269,0.236356720001903,0.175368903666835,0.165722916043761,0.292894245723172,0.279902449977546
control9,0.0295354101541446,0.019896749561237,0.016251739310293,0.0106013442785521,0.00901845637583893,0.0127192143912401,0.0519382561535252,0.085339526194245,0.0687328481902706,0.0408857306799943,0.118531559891005,0.127072943960781,0.115885280820727,0.124266495982444,0.0841827009237686,0.203226830720381,0.108182050365224,0.136775622188488,0.0988807666227021,0.116665081667103,0.153071529620718,0.0571923610631952,0.0460279937791601,0.0502108178234618
condition1,0.0459739139808126,0.00675079285252431,0.00943928396825994,0.00410790039116301,0.0181068232662192,0.00746936647258191,0.0093116395494368,0.0136095902851657,0.056974727960351,0.023038269952017,0.198184046484428,0.232012298199644,0.202391431924883,0.22385302488256,0.114488465110217,0.15092941721241,0.139199060121571,0.24279278024595,0.111657873754648,0.127329949359264,0.0877094928800817,0.0395545359062229,0.0449125194401243,0.0459807394840575
condition10,0.014590615808682,0.0125932692209005,0.0173931029295626,0.0122823811360255,0.0348678691275168,0.0193078126357869,0.027282019190655,0.0844582760320717,0.208682058353699,0.0823096065729183,0.30082679075786,0.265393880483475,0.234984948269866,0.251031534672138,0.175293056257026,0.342925183568168,0.24575139193952,0.332130969458099,0.208433930208123,0.271985925203871,0.160923575758201,0.140342655841517,0.187251166407464,0.0527262861134672
condition11,0.0894916768043854,0.070803783112498,0.0492365838065511,0.0562641176794665,0.0394505033557046,0.0258516555140349,0.0454547350855236,0.0220701756662083,0.006311183321273,0.00676397701474414,0.0449571362804991,0.0494503317555573,0.114672991653625,0.145782137591295,0.115457852034083,0.263413706423232,0.123185370587935,0.151154896034984,0.0787328892167602,0.159433620218255,0.119493551285096,0.0591521194139699,0.132849922239502,0.107420413153036
condition12,0.0884618642110285,0.0483781162439832,0.0499370087623632,0.01850276844251,0.012300755033557,0.0124923959329104,0.0203483521068002,0.0328628142920159,0.0340954084349356,0.014216097995027,0.0550447300643266,0.0673587925788183,0.119185793774996,0.18766215953641,0.144478363935548,0.219301117946683,0.125,0.156149464507053,0.0666472924537441,0.17569720168327,0.0792949267355767,0.0627343085167552,0.153225116640746,0.0913705029689135
condition13,0.219693353249459,0.0431635642498493,0.0510615538256468,0.0187409325473344,0.0426081282624907,0.0448229580062377,0.0509006628656191,0.114289709414129,0.171323160195816,0.0540956462362521,0.248724318749576,0.214990749349636,0.202664029444155,0.208023936430287,0.0975650376259703,0.181423415874696,0.135937296033327,0.179992479422865,0.120418184934314,0.16493637547583,0.176644648903299,0.100914617784831,0.198731639882495,0.116800836063847
condition14,0.0405996396618364,0.0226245214660331,0.129127336316799,0.116481185609608,0.152688059284116,0.073985400191188,0.153656654151022,0.0779794493889309,0.0774050079871112,0.0310039001754663,0.156878724913215,0.118832410616178,0.0801667644757433,0.0517924700826372,0.0258934244611349,0.0440844744327578,0.0246424375542728,0.0245080289124409,0.0241255523513588,0.0198105133021089,0.0144489420803172,0.00978058373007658,0.00367612752721617,0.0104130282920014
condition15,0.0665990390982305,0.0189771432676814,0.0182416043022075,0.0061687372596551,0.019253355704698,0.00986356131050666,0.104042553191489,0.243480630011158,0.133802889013284,0.0256141321070095,0.0678587425812792,0.0786598765953849,0.0909787428273344,0.0915551313849427,0.128936606982844,0.100960838790765,0.0767788731674923,0.163391501747837,0.0852549199323393,0.125040120301467,0.0841108105038153,0.0531913874130807,0.13356531881804,0.0869311661094753
condition16,0.0185918066698491,0.00240028190311976,0.00292454840610231,0.00618698694286815,0.00807046979865772,0.00432316560933924,0.00525657071339174,0.00880060890699467,0.0682649991580535,0.0302694641486003,0.178750212555938,0.193322626996872,0.175776676520026,0.187905803644566,0.122095504977272,0.216824325814205,0.134805128467078,0.140148276070173,0.116370464757562,0.116583057939659,0.0866637064879543,0.0383301261656329,0.0479657853810263,0.0611296841474974
condition17,0.10325651765503,0.0390178378988639,0.0457485615433793,0.0246215773235633,0.0176698825503356,0.0168853741201008,0.0150771798080934,0.0410866265341603,0.0190922682031046,0.0113450199998337,0.0313561483619713,0.0666033619305213,0.0759324465310381,0.0999602816289679,0.0789174636276249,0.0896374942118146,0.0638197885273535,0.071005041572079,0.0437773381321768,0.0732537267302253,0.0425736516558069,0.0380816026127556,0.0685847589424571,0.0512948455665884
condition18,0.060212276136066,0.0484243018279229,0.0907332368094468,0.0728351743705579,0.151719798657718,0.0634244372990354,0.0689007092198581,0.0387967383689251,0.0341892740603196,0.0139162044390483,0.0167877717087009,0.0343324740089594,0.0435861697965571,0.0354950794938909,0.0264717981720132,0.101445392604353,0.0424682024825049,0.0643653468518027,0.0331634363892428,0.0596128242314735,0.0489216860627212,0.0286076803361009,0.0400544323483669,0.0429728431714984
condition19,0.0487014736906941,0.0101813553929367,0.0110328682636982,0.00863416616164397,0.0160409675615212,0.0101981402624489,0.0727930746766793,0.122890124289681,0.0775381265103831,0.0430256297244929,0.246231538739097,0.172574961964331,0.151943683707181,0.164426912482427,0.133607382003617,0.115087318912483,0.0924235071767889,0.131806818656602,0.103182587053555,0.139376441358979,0.14240094588036,0.0602628088655826,0.0767690513219281,0.0732030587296042
condition2,0.0278151144040671,0.0189382887288115,0.035318072172647,0.0205547510172599,0.0807566315116651,0.0745434456045388,0.343181357649443,0.289245031934256,0.359199611469452,0.147732659187865,0.317664331661917,0.203688554282333,0.223777076036466,0.267209525224636,0.184739196514396,0.201439250040163,0.0698042163179823,0.0886801387128669,0.0391731682054263,0.0412037618832513,0.0311593230140126,0.011038717103714,0.0254421239724505,0.0132647715041308
condition20,0.0113114700804686,0.00225568111192079,0.00612989357301343,0.0021425204610704,0.0075689783743475,0.00657570754033776,0.0074055532378436,0.00306471654975768,0.0450797725076494,0.0141283186372208,0.0516507474365407,0.0681930239765586,0.0320197936590738,0.0380661375963751,0.0241079558517118,0.0418763276076235,0.0519850391332231,0.0628509796093321,0.0476597358317788,0.0540603726333977,0.0256514401039963,0.0259691140806162,0.0375289441852427,0.0349907689237063
condition21,0.00356598390137557,0.00426666823062295,0.00696529975233296,0.00491905207898816,0.0142737296260786,0.00500564873555227,0.0057858036831754,0.00530816649553515,0.00656718048141117,0.0174610962546198,0.130967637580719,0.113604392817899,0.0979348312094791,0.0669162705715038,0.0729216367626898,0.0784698400098282,0.063238931982866,0.0858360474393229,0.0628650628650629,0.100729552656516,0.047286642168975,0.0382319214859062,0.0868806931792932,0.019141117851262
condition22,0.0174124948028149,0.0299038826680899,0.0198986499191456,0.0371673736984187,0.0549636465324385,0.027889545494047,0.0184084272006675,0.0793108928617766,0.18187403574403,0.06726451339282,0.225269375769867,0.180052668836108,0.150787634759172,0.150616920597547,0.10072866941462,0.138006879671893,0.0834129335444652,0.0934083534114171,0.0909451635258087,0.136990026390243,0.0946551563903716,0.0854761302391193,0.169601477449455,0.0498150666134423
condition23,0.185263373039593,0.0310581723757959,0.0193913866961138,0.0153810709152012,0.0302979459019728,0.0211918436998823,0.0126688663860128,0.0131814525545552,0.0719597156662812,0.015644171547241,0.13601242420095,0.184957085007799,0.214212745609459,0.252282572441218,0.202585574870884,0.289100170187688,0.216994896608729,0.266285404636169,0.138604203120332,0.146131916631905,0.158520386275159,0.175556712505584,0.331155096847164,0.208878617016933
condition3,0.210314679930395,0.0640863465150412,0.094251814523711,0.0458376948928433,0.0472560123042505,0.0304054054054054,0.0346933667083855,0.0296371857079842,0.0507283972529796,0.0350423281303274,0.15765947916537,0.207631170230749,0.294371359328812,0.380654867357786,0.263868749898173,0.570660514652378,0.351655003320222,0.443721014442292,0.226764916281045,0.294105584745965,0.245904369017255,0.120244830837876,0.237033437013996,0.19158381567786
condition4,0.154439165986541,0.0739700614781442,0.116420969500959,0.0675530962481405,0.136765939597315,0.0655839923524811,0.0923383395911555,0.171172383818989,0.136076143795311,0.039476282941514,0.134243072750121,0.145782266925872,0.277503368979308,0.270617834977313,0.178058660128057,0.298040285770986,0.139771160034734,0.29224579752935,0.155648514519482,0.310409286512447,0.329676996313544,0.254851959183361,0.25117029548989,0.142224065665386
condition5,0.100043887340427,0.0362646639229009,0.0517515324733933,0.0241136851964079,0.0526496085011186,0.0213174589380377,0.0101898206090947,0.00999474558239708,0.0302844640443455,0.0303760467688418,0.0905208346294059,0.131157023920209,0.253936815336463,0.362292978706382,0.254931450496098,0.283000926109678,0.160636205751647,0.166704385610629,0.0687924276633954,0.162560031858492,0.133166737229066,0.0992634375215622,0.146277216174183,0.0848198692680005
condition6,0.0510382820801058,0.0082749171225355,0.0192311308337407,0.00922297669549884,0.0225566275167785,0.0131333101590336,0.0159219858156028,0.138163613482447,0.113865830181723,0.0475531388512361,0.244654477361237,0.175273117234384,0.200984067988176,0.241773439553783,0.145109687352352,0.314955017529933,0.173244112989733,0.2247782126095,0.104018099985842,0.209083236252111,0.136583420245557,0.0884258300942217,0.157995723172628,0.109304051694027
condition7,0.117604598161351,0.0595652910204963,0.118837200556579,0.0537091620296401,0.0376363255033557,0.0180020856869732,0.0154922820191906,0.0509354160720311,0.141945305353412,0.0624054061920484,0.247953241840962,0.255010671118248,0.221211528429838,0.27750997245431,0.271678831522181,0.421399748627373,0.322590284517546,0.371551327938944,0.194163145776049,0.282189855210291,0.225763106535454,0.147534825241304,0.287109253499221,0.145952360161668
condition8,0.0992425858992942,0.0689997961969472,0.0462669968893879,0.00799247581793997,0.0240092681367849,0.0179940160647556,0.0201299243101496,0.0173831332268241,0.0211507291774347,0.0161489598542097,0.0646501847681376,0.14319070963691,0.13867153538515,0.245987750576795,0.143698519502947,0.37439401241743,0.226970424477703,0.382033381016709,0.165751714138811,0.130572264092628,0.107711167200433,0.190429096038701,0.142721617418351,0.0986905415327149
