userid,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
control1,0.26598148047924,0.0957997441291809,0.431898191571236,0.0274168401956558,0.0326211899518967,0.0070200115442276,0.0176419913768768,0.0320836454629898,0.0728984028100967,0.151332244277,0.37802267074585,0.170783847570419,0.334353402256966,0.0605084598064423,0.143633350729942,0.280680581927299,0.615447834134102,0.735875800251961,0.235600113868713,0.621644020080566,0.210583925247192,0.1235491335392,0.224761843681335,0.253563091158867
control10,0.02729232609272,0.00431035459041595,0.020078256726265,0.0140218585729599,0.0318936407566071,0.36850842833519,0.909211084246635,0.237507864832878,0.812193021178246,0.176724821329117,0.635629341006279,0.658390685915947,0.388287395238876,0.556015029549599,0.328736990690231,0.228183016180992,0.0932719707489014,0.167371556162834,0.0598482340574265,0.182681813836098,0.32625238597393,0.159272834658623,0.280274286866188,0.147309690713882
control11,0.10822382569313,0.00265374779701233,0.19784477353096,0.0175258964300156,0.00485481321811676,0.411694526672363,0.221259444952011,0.215382814407349,0.280617088079453,0.0603392273187637,0.167802825570107,0.250754445791245,0.348025560379028,0.301315471529961,0.121681079268456,0.315483272075653,0.45446702837944,0.32471926510334,0.00642170011997223,0.0761330276727676,0.272695958614349,0.401032671332359,0.793178647756577,0.278186559677124
control12,0.0559392720460892,0.0298484563827515,0.00750435888767242,0.0596958696842194,0.0861653834581375,0.0691657513380051,0.221417725086212,0.0921448022127151,0.0475540459156036,0.000612154603004456,0.494785591959953,0.20570681989193,0.260050430893898,0.407533198595047,0.199075132608414,0.214239656925201,0.313310876488686,0.256979241967201,0.156292766332626,0.119923397898674,0.111688584089279,0.0650497078895569,0.0760926753282547,0.0266978740692139
control13,0.0365543067455292,0.0810896158218384,0.0247011333703995,0.0186965614557266,0.0187883377075195,0.0404379367828369,0.707908943295479,0.363545253872871,0.263207703828812,0.134366750717163,0.423805594444275,0.161310598254204,0.355294078588486,0.40262097120285,0.204063385725021,0.434417203068733,0.265632942318916,0.310566335916519,0.139555990695953,0.241558283567429,0.213511854410172,0.0336987525224686,0.0831461250782013,0.0770981162786484
control14,0.314532175660133,0.1137875020504,0.0710507333278656,0.0351021438837051,0.0505990087985992,0.330669179558754,0.834483161568642,0.506285905838013,0.792442619800568,0.663963317871094,0.797577679157257,0.335153073072433,0.75903807580471,0.784536182880402,0.237996578216553,0.607667997479439,0.167842581868172,0.646031051874161,0.342463061213493,0.720440059900284,0.145265087485313,0.108486652374268,0.165317833423615,0.0263834595680237
control15,0.00916896760463715,0.00691896677017212,0.0196987241506577,0.0106460750102997,0.0399363040924072,0.0115161687135696,0.547072619199753,0.433191105723381,0.351522654294968,0.0647192746400833,0.2541274279356,0.266057893633842,0.368598461151123,0.309863120317459,0.172750145196915,0.597888082265854,0.434423416852951,0.0581869333982468,0.0743470042943954,0.249374121427536,0.278020843863487,0.196230724453926,0.27497923374176,0.145532205700874
control16,0.028670534491539,0.0117583721876144,0.0247353315353394,0.0147030800580978,0.0287946462631226,0.0929678827524185,0.399125933647156,0.325646594166756,0.207930371165276,0.0858769863843918,0.261036932468414,0.330943182110786,0.217549428343773,0.269680872559547,0.22771143913269,0.366265773773193,0.290360122919083,0.400515109300613,0.112560510635376,0.266277730464935,0.150093451142311,0.167268916964531,0.292237594723701,0.0999455749988556
control17,0.0114364475011826,0.00754803419113159,0.0297819375991821,0.00996021926403046,0.0372820347547531,0.0686478912830353,0.228887870907784,0.216203674674034,0.272714287042618,0.0645410418510437,0.153007969260216,0.323331221938133,0.286073416471481,0.171644955873489,0.133591860532761,0.557836502790451,0.226706400513649,0.506509736180305,0.219538107514381,0.284467503428459,0.188676595687866,0.0369594246149063,0.0942623764276505,0.240750208497047
control18,0.468360021710396,0.295424044132233,0.537855803966522,0.0236671417951584,0.00507214665412903,0.00719530880451202,0.0255143344402313,0.19157837331295,0.209728434681892,0.184139356017113,0.420487031340599,0.535468772053719,0.28089228272438,0.591168522834778,0.241355791687965,0.438148275017738,0.263631701469421,0.650940507650375,0.188398540019989,0.294300690293312,0.278838083148003,0.148622810840607,0.311062276363373,0.284798458218575
