userid,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
control1,0.415287017822266,0.463517814874649,0.546324998140335,0.380452528595924,0.425909444689751,0.500022798776627,0.539798066020012,0.510306179523468,0.401789411902428,0.620708867907524,0.545531436800957,0.408429384231567,0.35897234082222,0.560587957501411,0.593650534749031,0.382100328803062,0.499110028147697,0.47833164036274,0.567259326577187,0.514159455895424,0.581957072019577,0.272665202617645,0.420956954360008,0.482538670301437
control10,0.415230378508568,0.463409706950188,0.546337142586708,0.38045834004879,0.426023781299591,0.499985024333,0.539757654070854,0.510318636894226,0.401831313967705,0.620988950133324,0.545564338564873,0.408415749669075,0.358962208032608,0.560513064265251,0.593637719750404,0.382033571600914,0.499077588319778,0.478302985429764,0.567188307642937,0.514158204197884,0.581993982195854,0.272672101855278,0.420953795313835,0.482481732964516
control11,0.415230378508568,0.463409706950188,0.546337142586708,0.38045834004879,0.426023781299591,0.499985024333,0.539757654070854,0.510318636894226,0.401831313967705,0.620988950133324,0.545564338564873,0.408415749669075,0.358962208032608,0.560513064265251,0.593637719750404,0.382033571600914,0.499077588319778,0.478302985429764,0.567188307642937,0.514158204197884,0.581993982195854,0.272672101855278,0.420953795313835,0.482481732964516
control12,0.415230378508568,0.463409706950188,0.546337142586708,0.38045834004879,0.426023781299591,0.499985024333,0.539757654070854,0.510318636894226,0.401831313967705,0.620988950133324,0.545564338564873,0.408415749669075,0.358962208032608,0.560513064265251,0.593637719750404,0.382033571600914,0.499077588319778,0.478302985429764,0.567188307642937,0.514158204197884,0.581993982195854,0.272672101855278,0.420953795313835,0.482481732964516
control13,0.415230378508568,0.463409706950188,0.546337142586708,0.38045834004879,0.426023781299591,0.499985024333,0.539757654070854,0.510318636894226,0.401831313967705,0.620988950133324,0.545564338564873,0.408415749669075,0.358962208032608,0.560513064265251,0.593637719750404,0.382033571600914,0.499077588319778,0.478302985429764,0.567188307642937,0.514158204197884,0.581993982195854,0.272672101855278,0.420953795313835,0.482481732964516
control14,0.450711384415627,0.476318717002869,0.550944074988365,0.453345343470573,0.383622869849205,0.456809505820274,0.781561449170113,0.587904870510101,0.446363553404808,0.639458298683167,0.475147590041161,0.377116471529007,0.519714370369911,0.566807627677917,0.533473551273346,0.546868115663528,0.468746468424797,0.443732410669327,0.567692473530769,0.469381660223007,0.515944242477417,0.338645488023758,0.443405777215958,0.155136078596115
control15,0.415194481611252,0.463407799601555,0.546302884817123,0.380459278821945,0.425986588001251,0.500038355588913,0.539785265922546,0.510315328836441,0.401842430233955,0.620846092700958,0.545627817511559,0.408411577343941,0.359036833047867,0.560539215803146,0.59362755715847,0.382203191518784,0.499106287956238,0.478346690535545,0.567176073789597,0.514159947633743,0.581977844238281,0.272664770483971,0.420894294977188,0.482492715120316
control16,0.415230378508568,0.463409706950188,0.546337142586708,0.38045834004879,0.426023781299591,0.499985024333,0.539757654070854,0.510318636894226,0.401831313967705,0.620988950133324,0.545564338564873,0.408415749669075,0.358962208032608,0.560513064265251,0.593637719750404,0.382033571600914,0.499077588319778,0.478302985429764,0.567188307642937,0.514158204197884,0.581993982195854,0.272672101855278,0.420953795313835,0.482481732964516
control17,0.415230378508568,0.463409706950188,0.546337142586708,0.38045834004879,0.426023781299591,0.499985024333,0.539757654070854,0.510318636894226,0.401831313967705,0.620988950133324,0.545564338564873,0.408415749669075,0.358962208032608,0.560513064265251,0.593637719750404,0.382033571600914,0.499077588319778,0.478302985429764,0.567188307642937,0.514158204197884,0.581993982195854,0.272672101855278,0.420953795313835,0.482481732964516
control18,0.415230378508568,0.463409706950188,0.546337142586708,0.38045834004879,0.426023781299591,0.499985024333,0.539757654070854,0.510318636894226,0.401831313967705,0.620988950133324,0.545564338564873,0.408415749669075,0.358962208032608,0.560513064265251,0.593637719750404,0.382033571600914,0.499077588319778,0.478302985429764,0.567188307642937,0.514158204197884,0.581993982195854,0.272672101855278,0.420953795313835,0.482481732964516
control19,0.415230378508568,0.463409706950188,0.546337142586708,0.38045834004879,0.426023781299591,0.499985024333,0.539757654070854,0.510318636894226,0.401831313967705,0.620988950133324,0.545564338564873,0.408415749669075,0.358962208032608,0.560513064265251,0.593637719750404,0.382033571600914,0.499077588319778,0.478302985429764,0.567188307642937,0.514158204197884,0.581993982195854,0.272672101855278,0.420953795313835,0.482481732964516
control2,0.558821350336075,0.510369718074799,0.586338728666306,0.431177213788033,0.577934339642525,0.532815605401993,0.483354523777962,0.445675060153008,0.712009474635124,0.603838190436363,0.601145297288895,0.514831319451332,0.428262963891029,0.560865342617035,0.595343440771103,0.57060469686985,0.804324358701706,0.764829233288765,0.494278937578201,0.454010233283043,0.693875163793564,0.502307444810867,0.695321321487427,0.490655153989792
control20,0.151403978466988,0.382341220974922,0.595554172992706,0.407720372080803,0.415904194116592,0.537221685051918,0.404099002480507,0.803426072001457,0.59895233809948,0.113302573561668,0.486275643110275,0.531982883810997,0.341128140687943,0.666075468063354,0.506567090749741,0.826360568404198,0.400216594338417,0.823761746287346,0.589613318443298,0.472964718937874,0.639832124114037,0.580096930265427,0.258724942803383,0.0358434170484543
control21,0.394708305597305,0.460692346096039,0.616418302059174,0.497719034552574,0.664413064718246,0.738424733281136,0.730280131101608,0.427975505590439,0.275650665163994,0.555616423487663,0.37372188270092,0.490652114152908,0.260089233517647,0.137632355093956,0.411181941628456,0.45626012980938,0.556575506925583,0.496658429503441,0.545673027634621,0.51385772228241,0.574840024113655,0.424102663993835,0.430048152804375,0.203735277056694
