userid,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
control1,0.950366128468886,0.429198022233322,0.623167746933177,0.159982632379979,0.12241984740831,0.99037928157486,0.981611346593127,0.308369328035042,0.00956973596476018,0.258530571125448,0.0527000690344721,0.648184043820947,0.850046488223597,0.155478446278721,0.60957245901227,0.933765487279743,0.362674592528492,0.288325888570398,0.937905676197261,0.507425793912262,0.8441867667716,0.664138388819993,0.457696927478537,0.727126132696867
control10,0.310156329534948,0.3954422485549,0.556015651207417,0.242854140233248,0.259281237144023,0.129143650643528,0.789485841756687,0.43053611391224,0.477036691037938,0.451743081677705,0.339309233240783,0.230290207779035,0.585485566407442,0.557069956324995,0.716618263628334,0.962969196029007,0.390538686420768,0.20087632141076,0.294494227971882,0.731948251836002,0.71676080673933,0.487400276819244,0.94139952538535,0.0272438176907599
control11,0.310156329534948,0.3954422485549,0.556015651207417,0.242854140233248,0.259281237144023,0.129143650643528,0.789485841756687,0.43053611391224,0.477036691037938,0.451743081677705,0.339309233240783,0.230290207779035,0.585485566407442,0.557069956324995,0.716618263628334,0.962969196029007,0.390538686420768,0.20087632141076,0.294494227971882,0.731948251836002,0.71676080673933,0.487400276819244,0.94139952538535,0.0272438176907599
control12,0.310156329534948,0.3954422485549,0.556015651207417,0.242854140233248,0.259281237144023,0.129143650643528,0.789485841756687,0.43053611391224,0.477036691037938,0.451743081677705,0.339309233240783,0.230290207779035,0.585485566407442,0.557069956324995,0.716618263628334,0.962969196029007,0.390538686420768,0.20087632141076,0.294494227971882,0.731948251836002,0.71676080673933,0.487400276819244,0.94139952538535,0.0272438176907599
control13,0.310156329534948,0.3954422485549,0.556015651207417,0.242854140233248,0.259281237144023,0.129143650643528,0.789485841756687,0.43053611391224,0.477036691037938,0.451743081677705,0.339309233240783,0.230290207779035,0.585485566407442,0.557069956324995,0.716618263628334,0.962969196029007,0.390538686420768,0.20087632141076,0.294494227971882,0.731948251836002,0.71676080673933,0.487400276819244,0.94139952538535,0.0272438176907599
control14,0.310156329534948,0.3954422485549,0.556015651207417,0.242854140233248,0.259281237144023,0.129143650643528,0.789485841756687,0.43053611391224,0.477036691037938,0.451743081677705,0.339309233240783,0.230290207779035,0.585485566407442,0.557069956324995,0.716618263628334,0.962969196029007,0.390538686420768,0.20087632141076,0.294494227971882,0.731948251836002,0.71676080673933,0.487400276819244,0.94139952538535,0.0272438176907599
control15,0.735442561097443,0.705113088944927,0.0185442757792771,0.400794491171837,0.831497238250449,0.8233149102889,0.334317009663209,0.611229171277955,0.924632631707937,0.350355830509216,0.502185503020883,0.362046847119927,0.71996154775843,0.214006669120863,0.374674420105293,0.992217866471037,0.273258430883288,0.47440501046367,0.828758558258414,0.50485999812372,0.0970897222869098,0.624123256886378,0.356329227332026,0.355507464148104
control16,0.310156329534948,0.3954422485549,0.556015651207417,0.242854140233248,0.259281237144023,0.129143650643528,0.789485841756687,0.43053611391224,0.477036691037938,0.451743081677705,0.339309233240783,0.230290207779035,0.585485566407442,0.557069956324995,0.716618263628334,0.962969196029007,0.390538686420768,0.20087632141076,0.294494227971882,0.731948251836002,0.71676080673933,0.487400276819244,0.94139952538535,0.0272438176907599
control17,0.310156329534948,0.3954422485549,0.556015651207417,0.242854140233248,0.259281237144023,0.129143650643528,0.789485841756687,0.43053611391224,0.477036691037938,0.451743081677705,0.339309233240783,0.230290207779035,0.585485566407442,0.557069956324995,0.716618263628334,0.962969196029007,0.390538686420768,0.20087632141076,0.294494227971882,0.731948251836002,0.71676080673933,0.487400276819244,0.94139952538535,0.0272438176907599
control18,0.310156329534948,0.3954422485549,0.556015651207417,0.242854140233248,0.259281237144023,0.129143650643528,0.789485841756687,0.43053611391224,0.477036691037938,0.451743081677705,0.339309233240783,0.230290207779035,0.585485566407442,0.557069956324995,0.716618263628334,0.962969196029007,0.390538686420768,0.20087632141076,0.294494227971882,0.731948251836002,0.71676080673933,0.487400276819244,0.94139952538535,0.0272438176907599
control19,0.310156329534948,0.3954422485549,0.556015651207417,0.242854140233248,0.259281237144023,0.129143650643528,0.789485841756687,0.43053611391224,0.477036691037938,0.451743081677705,0.339309233240783,0.230290207779035,0.585485566407442,0.557069956324995,0.716618263628334,0.962969196029007,0.390538686420768,0.20087632141076,0.294494227971882,0.731948251836002,0.71676080673933,0.487400276819244,0.94139952538535,0.0272438176907599
control2,0.310156329534948,0.3954422485549,0.556015651207417,0.242854140233248,0.259281237144023,0.129143650643528,0.789485841756687,0.43053611391224,0.477036691037938,0.451743081677705,0.339309233240783,0.230290207779035,0.585485566407442,0.557069956324995,0.716618263628334,0.962969196029007,0.390538686420768,0.20087632141076,0.294494227971882,0.731948251836002,0.71676080673933,0.487400276819244,0.94139952538535,0.0272438176907599
control20,0.310156329534948,0.3954422485549,0.556015651207417,0.242854140233248,0.259281237144023,0.129143650643528,0.789485841756687,0.43053611391224,0.477036691037938,0.451743081677705,0.339309233240783,0.230290207779035,0.585485566407442,0.557069956324995,0.716618263628334,0.962969196029007,0.390538686420768,0.20087632141076,0.294494227971882,0.731948251836002,0.71676080673933,0.487400276819244,0.94139952538535,0.0272438176907599
control21,0.735442561097443,0.705113088944927,0.0185442757792771,0.400794491171837,0.831497238250449,0.8233149102889,0.334317009663209,0.611229171277955,0.924632631707937,0.350355830509216,0.502185503020883,0.362046847119927,0.71996154775843,0.214006669120863,0.374674420105293,0.992217866471037,0.273258430883288,0.47440501046367,0.828758558258414,0.50485999812372,0.0970897222869098,0.624123256886378,0.356329227332026,0.355507464148104
control22,0.840327560668811,0.137007122626528,0.521742468699813,0.0914813282433897,0.0775491283275187,0.0221278099343181,0.283409231109545,0.505598167190328,0.815698742866516,0.750713665736839,0.291469373041764,0.831810361007228,0.0378166751470417,0.735687039326876,0.305389629676938,0.279689617455006,0.283808004809543,0.990325539605692,0.572667199419811,0.722567768767476,0.989647166570649,0.661839396227151,0.949280773056671,0.213532619178295
