userid,its,timesecs,fitness,success
control1,1500,182.19,0,FALSE
control10,1500,177.67,0,FALSE
control11,1500,177.52,0,FALSE
control12,1500,178.04,0,FALSE
control13,1500,176.14,0,FALSE
control14,1500,177.3,1,FALSE
control15,1500,176.4,0,FALSE
control16,1500,178.5,0,FALSE
control17,1500,175.6,0,FALSE
control18,1500,176.89,0,FALSE
control19,1500,176.75,0,FALSE
control2,1500,178.11,1,FALSE
control20,1500,177.14,1,FALSE
control21,1500,177.84,1,FALSE
control22,1500,176.34,0,FALSE
control23,1500,7409.32,0,FALSE
control24,1500,181.030000000001,0,FALSE
control25,1500,167.68,0,FALSE
control26,1500,167.030000000001,1,FALSE
control27,1500,167.58,0,FALSE
control28,1500,173.360000000001,1,FALSE
control29,1500,169.780000000001,0,FALSE
control3,1500,167.98,0,FALSE
control30,1500,166.98,0,FALSE
control31,1500,167.589999999998,0,FALSE
control32,1500,168.289999999999,0,FALSE
control4,1500,167.99,0,FALSE
control5,1500,167.790000000001,0,FALSE
control6,1500,166.480000000001,0,FALSE
control7,1500,168.110000000001,1,FALSE
control8,1500,166.860000000001,1,TRUE
control9,1500,166.809999999999,0,FALSE
condition1,1500,168.089999999998,0,FALSE
condition10,1500,168.9,0,FALSE
condition11,1500,167.57,0,FALSE
condition12,1500,167.99,0,FALSE
condition13,1500,168.73,0,FALSE
condition14,1500,168.869999999999,0,FALSE
condition15,1500,170.33,0,FALSE
condition16,1500,167.360000000001,0,FALSE
condition17,1500,166.93,0,FALSE
condition18,1500,166.629999999999,0,FALSE
condition19,1500,167.76,0,FALSE
condition2,1500,166.529999999999,1,FALSE
condition20,1500,167.85,0,FALSE
condition21,1500,168.059999999999,0,FALSE
condition22,1500,167.560000000001,0,FALSE
condition23,1500,167.970000000001,0,FALSE
condition3,1500,167.889999999999,0,FALSE
condition4,1500,168.310000000001,0,FALSE
condition5,1500,167.32,0,FALSE
condition6,1500,167.859999999999,0,FALSE
condition7,1500,169.309999999998,0,FALSE
condition8,1500,168.580000000002,0,FALSE
condition9,1500,168.539999999997,0,FALSE
